index,budget,genres,id,original_language,original_title,popularity,production_companies,release_date,revenue,runtime,status,title,vote_average,cast,director
984,50000000,Action Thriller Adventure Crime,11968,en,Into the Blue,14.723467,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Mandalay Pictures"", ""id"": 551}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",2005-09-30,44434439,110.0,Released,Into the Blue,5.8,Paul Walker Jessica Alba Scott Caan Ashley Scott Josh Brolin,John Stockwell
985,60000000,Adventure Drama Action History War,10047,fr,Joan of Arc,21.08454200000001,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Gaumont"", ""id"": 9}]",1999-10-18,66976317,148.0,Released,The Messenger: The Story of Joan of Arc,6.2,Milla Jovovich Dustin Hoffman Faye Dunaway John Malkovich Vincent Cassel,Luc Besson
986,49900000,Comedy,38319,en,Your Highness,21.408222,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Stuber Productions"", ""id"": 4403}]",2011-04-08,26121638,102.0,Released,Your Highness,5.2,Danny McBride James Franco Natalie Portman Zooey Deschanel Justin Theroux,David Gordon Green
987,50000000,Drama Thriller Mystery,69668,en,Dream House,19.267479,"[{""name"": ""Cliffjack Motion Pictures"", ""id"": 8430}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}]",2011-09-30,38502340,84.0,Released,Dream House,5.8,Daniel Craig Naomi Watts Rachel Weisz Marton Csokas Elias Koteas,Jim Sheridan
988,50000000,Action Drama Thriller,9770,en,Mad City,3.314004,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Arnold Kopelson Productions"", ""id"": 16775}]",1997-11-07,10541523,114.0,Released,Mad City,5.9,John Travolta Dustin Hoffman Mia Kirshner Alan Alda Robert Prosky,Costa-Gavras
989,50000000,Action Adventure Comedy Family,11212,en,Baby's Day Out,21.312185999999997,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",1994-07-01,16671505,99.0,Released,Baby's Day Out,5.8,Joe Mantegna Lara Flynn Boyle Joe Pantoliano Brian Haley Cynthia Nixon,Patrick Read Johnson
990,50000000,Drama History Romance,10533,en,The Scarlet Letter,7.44268,"[{""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Cinergi Pictures Entertainment"", ""id"": 1504}]",1995-10-13,10382407,135.0,Released,The Scarlet Letter,5.5,Demi Moore Gary Oldman Robert Duvall Robert Prosky Edward Hardwicke,Roland Joff\u00e9
991,22000000,Drama Thriller,38363,en,Fair Game,12.54949,"[{""name"": ""River Road Entertainment"", ""id"": 1246}, {""name"": ""Participant Media"", ""id"": 6735}]",2010-05-20,24188922,108.0,Released,Fair Game,6.5,Naomi Watts Sean Penn Ty Burrell Brooke Smith Bruce McGill,Doug Liman
992,50000000,Action Crime,9923,en,Domino,18.394571,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Davis-Films"", ""id"": 342}, {""name"": ""Metropolitan Filmexport"", ""id"": 656}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Domino 17521"", ""id"": 56181}]",2005-09-22,22944502,127.0,Released,Domino,6.0,Keira Knightley Mickey Rourke Edgar Ram\u00edrez Delroy Lindo Mo'Nique,Tony Scott
993,50000000,Action Thriller Mystery Romance,11863,en,Jade,8.189406,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",1995-10-13,9851610,95.0,Released,Jade,5.2,David Caruso Linda Fiorentino Chazz Palminteri Michael Biehn Richard Crenna,William Friedkin
994,50000000,Action Thriller Science Fiction,18501,en,Gamer,27.631262,"[{""name"": ""Lakeshore Entertainment"", ""id"": 126}, {""name"": ""Lionsgate"", ""id"": 1632}]",2009-09-03,40828540,95.0,Released,Gamer,5.6,Gerard Butler Michael C. Hall Logan Lerman Amber Valletta Terry Crews,Brian Taylor
995,60000000,Fantasy Drama Romance,109491,en,Beautiful Creatures,40.721373,"[{""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Belle Pictures"", ""id"": 32184}, {""name"": ""3 Arts Entertainment"", ""id"": 36390}]",2013-02-13,60052138,124.0,Released,Beautiful Creatures,5.6,Alden Ehrenreich Alice Englert Jeremy Irons Viola Davis Emmy Rossum,Richard LaGravenese
996,55000000,Comedy Crime Drama Thriller,9275,en,Death to Smoochy,11.329727,"[{""name"": ""Senator Film Produktion"", ""id"": 191}, {""name"": ""Mad Chance"", ""id"": 1757}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Filmfour"", ""id"": 6705}]",2002-03-28,0,109.0,Released,Death to Smoochy,5.9,Robin Williams Catherine Keener Edward Norton Danny DeVito Jon Stewart,Danny DeVito
997,50000000,Comedy,329833,en,Zoolander 2,37.253774,"[{""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Red Hour Films"", ""id"": 12178}]",2016-02-06,55969000,100.0,Released,Zoolander 2,4.7,Ben Stiller Owen Wilson Will Ferrell Pen\u00e9lope Cruz Kristen Wiig,Ben Stiller
998,50000000,Comedy Crime,12634,en,The Big Bounce,6.397387999999999,"[{""name"": ""Shangri-La Entertainment"", ""id"": 2265}, {""name"": ""Material"", ""id"": 67989}, {""name"": ""Taormina Productions"", ""id"": 78070}]",2004-01-30,6808550,88.0,Released,The Big Bounce,5.0,Owen Wilson Morgan Freeman Gary Sinise Sara Foster Willie Nelson,George Armitage
999,60000000,Comedy Drama Romance Science Fiction,10416,en,What Planet Are You From?,2.275331,"[{""name"": ""Columbia Pictures"", ""id"": 5}]",2000-03-03,0,105.0,Released,What Planet Are You From?,5.4,Garry Shandling Annette Bening John Goodman Greg Kinnear Linda Fiorentino,Mike Nichols
1000,50000000,Fantasy Thriller Action Crime,47327,en,Drive Angry,30.387148,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Saturn Films"", ""id"": 831}, {""name"": ""Nu Image Films"", ""id"": 925}, {""name"": ""Millennium Films"", ""id"": 10254}, {""name"": ""Michael De Luca Productions"", ""id"": 11370}]",2011-02-24,28931401,105.0,Released,Drive Angry,5.3,Nicolas Cage Amber Heard William Fichtner Billy Burke David Morse,Patrick Lussier
1001,50000000,Action Adventure Science Fiction Thriller,15268,en,Street Fighter: The Legend of Chun-Li,8.139676,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Hyde Park Films"", ""id"": 1172}]",2009-02-27,12764201,97.0,Released,Street Fighter: The Legend of Chun-Li,3.9,Kristin Kreuk Chris Klein Neal McDonough Michael Clarke Duncan Moon Bloodgood,Andrzej Bartkowiak
1002,49000000,Action Science Fiction Thriller,10796,en,The One,21.746245,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Revolution Studios"", ""id"": 497}, {""name"": ""Hard Eight Pictures"", ""id"": 48772}, {""name"": ""Wonder works studios entertainment group"", ""id"": 93580}]",2001-11-02,72700000,87.0,Released,The One,5.7,Jet Li Jason Statham Carla Gugino Delroy Lindo James Morrison,James Wong
1003,49000000,Action Comedy Thriller Crime Mystery,9548,en,The Adventures of Ford Fairlane,2.8084279999999997,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Silver Pictures"", ""id"": 1885}]",1990-07-11,20423389,104.0,Released,The Adventures of Ford Fairlane,6.2,Andrew Dice Clay Wayne Newton Priscilla Presley Morris Day Lauren Holly,Renny Harlin
1004,50000000,Drama Comedy,18947,en,The Boat That Rocked,31.02233,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Studio Canal"", ""id"": 5870}, {""name"": ""Working Title Films"", ""id"": 10163}, {""name"": ""Medienproduktion Prometheus Filmgesellschaft"", ""id"": 12196}, {""name"": ""Portobello Studios"", ""id"": 12197}, {""name"": ""Tightrope Pictures"", ""id"": 12198}]",2009-04-01,36348784,116.0,Released,The Boat That Rocked,7.2,Tom Sturridge Philip Seymour Hoffman Rhys Ifans Bill Nighy Emma Thompson,Richard Curtis
1005,48000000,Thriller Drama Crime,1900,en,Traffic,25.170217,"[{""name"": ""USA Films"", ""id"": 987}, {""name"": ""Initial Entertainment Group (IEG)"", ""id"": 7380}, {""name"": ""Bedford Falls Company, The"", ""id"": 20634}, {""name"": ""Compulsion Inc."", ""id"": 58333}, {""name"": ""Splendid Medien AG"", ""id"": 58334}]",2000-12-27,207515725,147.0,Released,Traffic,6.9,Michael Douglas Benicio del Toro Jacob Vargas Tom\u00e1s Mili\u00e1n Russell G. Jones,Steven Soderbergh
1006,48000000,Adventure Action,89,en,Indiana Jones and the Last Crusade,80.972475,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Paramount Pictures"", ""id"": 4}]",1989-05-24,474171806,127.0,Released,Indiana Jones and the Last Crusade,7.6,Harrison Ford Sean Connery Denholm Elliott Alison Doody John Rhys-Davies,Steven Spielberg
1008,49000000,Crime Action Science Fiction,198184,en,Chappie,116.700319,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Media Rights Capital"", ""id"": 2531}, {""name"": ""Sony Pictures Entertainment (SPE)"", ""id"": 7431}, {""name"": ""Alpha Core"", ""id"": 18209}, {""name"": ""Genre Films"", ""id"": 28788}, {""name"": ""Simon Kinberg Productions"", ""id"": 31076}, {""name"": ""LStar Capital"", ""id"": 34034}, {""name"": ""Ollin Studio"", ""id"": 53638}]",2015-03-04,104399548,120.0,Released,Chappie,6.6,Sharlto Copley Dev Patel Ninja Yolandi Visser Jose Pablo Cantillo,Neill Blomkamp
1009,73000000,Drama Mystery Thriller Crime,9481,en,The Bone Collector,33.884459,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}]",1999-11-04,151493655,118.0,Released,The Bone Collector,6.5,Denzel Washington Angelina Jolie Queen Latifah Michael Rooker Michael McGlone,Phillip Noyce
1010,48000000,Crime Drama Thriller,4547,en,Panic Room,53.043124,"[{""name"": ""Hofflund/Polone"", ""id"": 1685}, {""name"": ""Indelible Productions"", ""id"": 7795}]",2002-03-29,196397415,111.0,Released,Panic Room,6.5,Jodie Foster Kristen Stewart Forest Whitaker Dwight Yoakam Jared Leto,David Fincher
1012,75000000,Action Adventure Comedy,6415,en,Three Kings,34.973086,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Village-A.M. Partnership"", ""id"": 23689}, {""name"": ""Coast Ridge"", ""id"": 23690}, {""name"": ""Junger Witt Productions"", ""id"": 23691}]",1999-09-27,108000000,114.0,Released,Three Kings,6.6,George Clooney Mark Wahlberg Ice Cube Spike Jonze Cliff Curtis,David O. Russell
1013,50000000,Crime Thriller,181283,en,Child 44,40.371098,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Worldview Entertainment"", ""id"": 9015}]",2015-03-15,3324330,137.0,Released,Child 44,6.1,Tom Hardy Gary Oldman Noomi Rapace Joel Kinnaman Paddy Considine,Daniel Espinosa
1014,48000000,Adventure Comedy,9896,en,Rat Race,18.60049,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Fireworks Pictures"", ""id"": 3857}, {""name"": ""Alphaville Films"", ""id"": 11462}]",2001-07-30,85498534,112.0,Released,Rat Race,6.0,Cuba Gooding Jr. Seth Green Whoopi Goldberg Breckin Meyer Amy Smart,Jerry Zucker
1015,48000000,Drama Science Fiction,167,en,K-PAX,30.920075,"[{""name"": ""Intermedia Films"", ""id"": 763}, {""name"": ""Lawrence Gordon Productions"", ""id"": 840}, {""name"": ""Path\u00e9 Pictures International"", ""id"": 1178}, {""name"": ""IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"", ""id"": 19116}]",2001-10-22,50315140,120.0,Released,K-PAX,7.1,Jeff Bridges Kevin Spacey Mary McCormack Alfre Woodard Ajay Naidu,Iain Softley
1017,48000000,Fantasy Comedy Romance,1636,en,Bedazzled,19.348007,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""KirchMedia"", ""id"": 73949}]",2000-10-19,90383208,93.0,Released,Bedazzled,5.6,Elizabeth Hurley Brendan Fraser Frances O'Connor Orlando Jones Paul Adelstein,Harold Ramis
1018,58000000,Music Drama Crime Romance,2148,en,The Cotton Club,8.59075,"[{""name"": ""Orion Pictures"", ""id"": 41}, {""name"": ""PSO International"", ""id"": 427}, {""name"": ""Totally Independent"", ""id"": 991}]",1984-12-14,25928721,127.0,Released,The Cotton Club,6.6,Richard Gere Gregory Hines Diane Lane Lonette McKee Bob Hoskins,Francis Ford Coppola
1019,55000000,Western,5176,en,3:10 to Yuma,48.80108900000001,"[{""name"": ""Tree Line Films"", ""id"": 84}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Yuma"", ""id"": 10880}]",2007-09-06,70016220,122.0,Released,3:10 to Yuma,6.9,Russell Crowe Christian Bale Logan Lerman Dallas Roberts Peter Fonda,James Mangold
1020,48000000,Thriller Action,260346,en,Taken 3,88.84477700000002,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""M6 Films"", ""id"": 1115}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Grive Productions"", ""id"": 6877}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""Cin\u00e9+"", ""id"": 10611}, {""name"": ""M6"", ""id"": 11261}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Taken 3"", ""id"": 87854}]",2014-12-16,325771424,109.0,Released,Taken 3,6.1,Liam Neeson Forest Whitaker Maggie Grace Famke Janssen Dougray Scott,Olivier Megaton
1021,48000000,Romance Comedy Crime,1389,en,Out of Sight,16.000178,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Jersey Films"", ""id"": 216}]",1998-06-26,77745568,123.0,Released,Out of Sight,6.5,George Clooney Jennifer Lopez Ving Rhames Don Cheadle Albert Brooks,Steven Soderbergh
1022,47000000,Comedy Drama Thriller,9894,en,The Cable Guy,19.525659,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}]",1996-06-10,102825796,96.0,Released,The Cable Guy,5.7,Jim Carrey Matthew Broderick Leslie Mann Jack Black George Segal,Ben Stiller
1024,47000000,Adventure Action Comedy Thriller Crime,8592,en,Dick Tracy,7.859226,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}]",1990-06-15,103738726,103.0,Released,Dick Tracy,5.9,Warren Beatty Al Pacino Madonna Charlie Korsmo Glenne Headly,Warren Beatty
1025,48000000,Drama Crime Romance,913,en,The Thomas Crown Affair,18.102572,"[{""name"": ""Irish Dreamtime"", ""id"": 597}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",1999-08-06,124305181,113.0,Released,The Thomas Crown Affair,6.6,Pierce Brosnan Rene Russo Denis Leary Ben Gazzara Frankie Faison,John McTiernan
1026,48000000,Comedy Drama Romance,11091,en,Riding in Cars with Boys,7.226114999999999,"[{""name"": ""Columbia Pictures"", ""id"": 5}]",2001-10-19,35743308,132.0,Released,Riding in Cars with Boys,6.5,Drew Barrymore Steve Zahn Adam Garcia Brittany Murphy Logan Lerman,Penny Marshall
1027,15000000,Action Adventure Thriller War,1368,en,First Blood,63.071046,"[{""name"": ""Orion Pictures"", ""id"": 41}]",1982-10-22,125212904,93.0,Released,First Blood,7.2,Sylvester Stallone Richard Crenna Brian Dennehy Bill McKinney Jack Starrett,Ted Kotcheff
1029,47000000,Animation Comedy Family Fantasy Science Fiction,5393,en,Happily N'Ever After,10.410933,"[{""name"": ""Vanguard Films"", ""id"": 614}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Odyssey"", ""id"": 1718}, {""name"": ""Nitrogen Studios Canada"", ""id"": 46875}]",2006-09-14,38085778,75.0,Released,Happily N'Ever After,4.6,George Carlin Andy Dick Sarah Michelle Gellar Lisa Kaplan Michael McShane,Yvette Kaplan
1030,47000000,Drama Horror Thriller Romance,9095,en,Mary Reilly,6.0672120000000005,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""NFH Productions"", ""id"": 18737}]",1996-02-23,12379402,104.0,Released,Mary Reilly,5.7,Julia Roberts John Malkovich George Cole Michael Gambon Glenn Close,Stephen Frears
1031,38000000,Comedy Romance,8874,en,My Best Friend's Wedding,15.401855,"[{""name"": ""TriStar Pictures"", ""id"": 559}]",1997-06-19,299288605,105.0,Released,My Best Friend's Wedding,6.3,Julia Roberts Dermot Mulroney Cameron Diaz Rupert Everett Philip Bosco,P.J. Hogan
1033,46000000,Crime Mystery Thriller,320,en,Insomnia,41.322708,"[{""name"": ""Section Eight"", ""id"": 129}, {""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""Witt/Thomas Productions"", ""id"": 1089}]",2002-05-24,113714830,118.0,Released,Insomnia,6.8,Al Pacino Robin Williams Hilary Swank Maura Tierney Martin Donovan,Christopher Nolan
1034,46000000,Science Fiction Action Adventure Thriller,199,en,Star Trek: First Contact,25.6713,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Digital Image Associates"", ""id"": 76068}]",1996-11-21,150000000,111.0,Released,Star Trek: First Contact,7.0,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes
1035,47000000,Action Western Drama Fantasy Thriller,20533,en,Jonah Hex,22.581313,"[{""name"": ""Warner Bros."", ""id"": 6194}]",2010-06-18,10539000,80.0,Released,Jonah Hex,4.4,Josh Brolin John Malkovich Megan Fox Michael Fassbender Will Arnett,Jimmy Hayward
1036,46000000,Drama Thriller Mystery War,10684,en,Courage Under Fire,12.971122,"[{""name"": ""Fox 2000 Pictures"", ""id"": 711}]",1996-07-04,100860818,117.0,Released,Courage Under Fire,6.2,Denzel Washington Meg Ryan Lou Diamond Phillips Matt Damon Michael Moriarty,Edward Zwick
1037,45000000,Comedy,1624,en,Liar Liar,26.721386,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}]",1997-03-21,181000000,86.0,Released,Liar Liar,6.4,Jim Carrey Maura Tierney Cary Elwes Jennifer Tilly Swoosie Kurtz,Tom Shadyac
1038,25000000,Crime Drama Thriller,325789,en,The Infiltrator,24.672234,"[{""name"": ""Good Films"", ""id"": 68620}]",2016-07-13,15436808,127.0,Released,The Infiltrator,6.6,Bryan Cranston Diane Kruger John Leguizamo Daniel Mays Benjamin Bratt,Brad Furman
1039,46000000,Drama History War,113464,en,Inchon,0.146783,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Unification Church"", ""id"": 46957}, {""name"": ""One Way Productions"", ""id"": 46958}]",1981-05-04,5200000,140.0,Released,Inchon,6.5,Laurence Olivier Jacqueline Bisset Ben Gazzara Toshir\u014d Mifune Richard Roundtree,Terence Young
1040,46000000,Fantasy Comedy Family,888,en,The Flintstones,28.964162,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Hanna-Barbera Productions"", ""id"": 1353}]",1994-05-26,341631208,91.0,Released,The Flintstones,5.0,John Goodman Elizabeth Perkins Rick Moranis Rosie O'Donnell Kyle MacLachlan,Brian Levant
1041,45000000,Action Crime Thriller,82675,en,Taken 2,49.353524,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""M6 Films"", ""id"": 1115}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Grive Productions"", ""id"": 6877}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""Cin\u00e9+"", ""id"": 10611}]",2012-09-27,376141306,91.0,Released,Taken 2,6.1,Liam Neeson Maggie Grace Famke Janssen Rade Serbedzija Luke Grimes,Olivier Megaton
1042,48000000,Comedy,4256,en,Scary Movie 3,36.585509,"[{""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Brad Grey Pictures"", ""id"": 10958}]",2003-10-24,220673217,84.0,Released,Scary Movie 3,5.8,Pamela Anderson Jenny McCarthy Marny Eng Charlie Sheen Simon Rex,David Zucker
1043,45000000,Comedy Crime Action,1493,en,Miss Congeniality,32.624355,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Castle Rock Entertainment"", ""id"": 97}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Fortis Films"", ""id"": 4258}]",2000-12-14,212000000,111.0,Released,Miss Congeniality,6.1,Sandra Bullock Benjamin Bratt Michael Caine Candice Bergen William Shatner,Donald Petrie
1044,45000000,Action Science Fiction Adventure Comedy Family,88751,en,Journey to the Center of the Earth,53.090422,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Walden Media"", ""id"": 10221}]",2008-07-10,101702060,93.0,Released,Journey to the Center of the Earth,5.8,Brendan Fraser Josh Hutcherson Anita Briem Seth Meyers Jean Michel Par\u00e9,Eric Brevig
1045,40000000,Comedy Drama Family Romance,11130,en,The Princess Diaries 2: Royal Engagement,30.002907,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",2004-08-06,95149435,113.0,Released,The Princess Diaries 2: Royal Engagement,6.0,Anne Hathaway Julie Andrews H\u00e9ctor Elizondo John Rhys-Davies Heather Matarazzo,Garry Marshall
1046,45000000,Drama Mystery Thriller Crime,9944,en,The Pelican Brief,17.923254,"[{""name"": ""Warner Bros."", ""id"": 6194}]",1993-12-16,195268056,141.0,Released,The Pelican Brief,6.3,Julia Roberts Denzel Washington Sam Shepard William Atherton John Lithgow,Alan J. Pakula
1047,45000000,Drama Thriller Crime Mystery,10731,en,The Client,17.746719,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Alcor Films"", ""id"": 644}, {""name"": ""Warner Bros."", ""id"": 6194}]",1994-07-20,117615211,119.0,Released,The Client,6.4,Susan Sarandon Tommy Lee Jones Mary-Louise Parker Anthony LaPaglia Bradley Whitford,Joel Schumacher
1048,45000000,Drama Comedy,7350,en,The Bucket List,31.305335999999997,"[{""name"": ""Two Ton Films"", ""id"": 17049}, {""name"": ""Zadan / Meron Productions"", ""id"": 70994}, {""name"": ""Reiner / Greisman Productions"", ""id"": 86256}]",2007-12-25,175372502,97.0,Released,The Bucket List,7.0,Jack Nicholson Morgan Freeman Sean Hayes Beverly Todd Alfonso Freeman,Rob Reiner
1049,45000000,Drama Action Thriller Crime,9869,en,Patriot Games,19.637704,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Mace Neufeld Productions"", ""id"": 2767}]",1992-06-04,178051587,117.0,Released,Patriot Games,6.3,Harrison Ford Anne Archer Patrick Bergin Thora Birch James Fox,Phillip Noyce
1050,43000000,Romance Comedy,4379,en,Monster-in-Law,10.411996,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Spring Creek Productions"", ""id"": 705}, {""name"": ""BenderSpink"", ""id"": 6363}, {""name"": ""Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG"", ""id"": 12067}]",2005-05-13,154749918,101.0,Released,Monster-in-Law,5.6,Jennifer Lopez Jane Fonda Michael Vartan Wanda Sykes Adam Scott,Robert Luketic
1051,46000000,Drama Thriller Crime,146233,en,Prisoners,88.496873,"[{""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""Madhouse Entertainment"", ""id"": 12199}, {""name"": ""8:38 Productions"", ""id"": 18208}]",2013-09-18,122126687,153.0,Released,Prisoners,7.9,Hugh Jackman Jake Gyllenhaal Paul Dano Maria Bello Melissa Leo,Denis Villeneuve
1052,45000000,Action Crime Drama Thriller,2034,en,Training Day,52.081131,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Outlaw Productions (I)"", ""id"": 19507}, {""name"": ""WV Films II"", ""id"": 24939}]",2001-10-05,104876233,122.0,Released,Training Day,7.3,Denzel Washington Ethan Hawke Scott Glenn Tom Berenger Harris Yulin,Antoine Fuqua
1053,45000000,Comedy Family Science Fiction,926,en,Galaxy Quest,30.816341,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Gran Via Productions"", ""id"": 2605}]",1999-12-23,90683916,102.0,Released,Galaxy Quest,6.9,Tim Allen Sigourney Weaver Alan Rickman Tony Shalhoub Sam Rockwell,Dean Parisot
1054,45000000,Comedy,4248,en,Scary Movie 2,35.37697100000001,"[{""name"": ""Gold/Miller Productions"", ""id"": 1607}, {""name"": ""Wayans Bros. Entertainment"", ""id"": 1608}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Brad Grey Pictures"", ""id"": 10958}]",2001-07-04,141220678,83.0,Released,Scary Movie 2,5.4,Anna Faris Marlon Wayans James DeBello Shawn Wayans David Cross,Keenen Ivory Wayans
1055,45000000,Comedy Family Music,64328,en,The Muppets,17.047276,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",2011-11-22,165184237,103.0,Released,The Muppets,6.5,Amy Adams Jason Segel Emily Blunt John Krasinski Zach Galifianakis,James Bobin
1056,45000000,Horror Action,36647,en,Blade,43.815492,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Amen Ra Films"", ""id"": 421}, {""name"": ""Imaginary Forces"", ""id"": 11321}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",1998-08-21,131183530,120.0,Released,Blade,6.5,Wesley Snipes Stephen Dorff Kris Kristofferson N'Bushe Wright Donal Logue,Stephen Norrington
1057,30000000,Drama,7214,en,Coach Carter,23.234651,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""MTV Films"", ""id"": 746}, {""name"": ""Tollin/Robbins Productions"", ""id"": 2184}]",2005-01-14,76669806,136.0,Released,Coach Carter,7.3,Samuel L. Jackson Rob Brown Robert Ri'chard Rick Gonzalez Channing Tatum,Thomas Carter
1058,45000000,Action Adventure Crime Thriller,1537,en,Changing Lanes,17.270539000000007,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",2002-04-07,94935764,89.0,Released,Changing Lanes,5.9,Ben Affleck Samuel L. Jackson Kim Staunton Toni Collette Sydney Pollack,Roger Michell
1059,45000000,Adventure Horror Thriller,9360,en,Anaconda,27.684779,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Middle Fork Productions"", ""id"": 3803}, {""name"": ""Iguana Producciones"", ""id"": 11134}, {""name"": ""Skylight Cinema Foto Art"", ""id"": 16387}, {""name"": ""St. Tropez Films"", ""id"": 55532}, {""name"": ""Cinema Line Film Corporation"", ""id"": 55533}]",1997-04-11,136885767,89.0,Released,Anaconda,4.7,Jennifer Lopez Ice Cube Jon Voight Eric Stoltz Owen Wilson,Luis Llosa
1060,45000000,Comedy,6282,en,Coyote Ugly,26.79781,"[{""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]",2000-07-30,113916474,100.0,Released,Coyote Ugly,5.8,Piper Perabo Adam Garcia John Goodman Izabella Miko Tyra Banks,David McNally
1061,40000000,Comedy Romance Drama,508,en,Love Actually,37.073127,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""DNA Films"", ""id"": 284}, {""name"": ""StudioCanal"", ""id"": 694}, {""name"": ""Working Title Films"", ""id"": 10163}]",2003-09-07,244931766,135.0,Released,Love Actually,7.0,Keira Knightley Heike Makatsch Emma Thompson Laura Linney Hugh Grant,Richard Curtis
